Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
249,2,2.000,192250,192250,970351,581300,970351,970351,970351,970351,970351
250,1,1.000,739863,739863,739863,739863,739863,739863,739863,739863,739863
251,2,2.000,63716,63716,934920,499318,934920,934920,934920,934920,934920
252,2,2.000,184416,184416,536440,360428,536440,536440,536440,536440,536440
253,2,2.000,175404,175404,978263,576833,978263,978263,978263,978263,978263
254,5,5.000,163021,167455,179974,327120,198065,927088,927088,927088,927088
255,1,1.000,188062,188062,188062,188062,188062,188062,188062,188062,188062
256,2,2.000,176892,176892,772261,474576,772261,772261,772261,772261,772261
257,3,3.000,170022,170022,736115,565969,791772,791772,791772,791772,791772
258,2,2.000,182881,182881,796229,489555,796229,796229,796229,796229,796229
259,2,2.000,162722,162722,174715,168718,174715,174715,174715,174715,174715
260,4,4.000,55751,186210,202374,235100,496067,496067,496067,496067,496067
261,3,3.000,182685,182685,452380,518332,919931,919931,919931,919931,919931
262,3,3.000,185694,185694,186125,353651,689134,689134,689134,689134,689134
263,3,3.000,161817,161817,171493,172825,185167,185167,185167,185167,185167
264,1,1.000,876039,876039,876039,876039,876039,876039,876039,876039,876039
265,2,2.000,698934,698934,701041,699987,701041,701041,701041,701041,701041
266,1,1.000,866207,866207,866207,866207,866207,866207,866207,866207,866207
267,4,4.000,169000,181390,182436,179006,183200,183200,183200,183200,183200
268,4,4.000,57038,171918,173263,255616,620246,620246,620246,620246,620246
269,4,4.000,170456,170622,183362,363782,930691,930691,930691,930691,930691
270,1,1.000,931645,931645,931645,931645,931645,931645,931645,931645,931645
271,3,3.000,170063,170063,178299,398683,847689,847689,847689,847689,847689
272,2,2.000,170952,170952,775212,473082,775212,775212,775212,775212,775212
273,3,3.000,55547,55547,184290,246177,498694,498694,498694,498694,498694
274,1,1.000,935867,935867,935867,935867,935867,935867,935867,935867,935867
275,3,3.000,167903,167903,188817,276951,474134,474134,474134,474134,474134
276,4,4.000,174700,186584,187825,246683,437624,437624,437624,437624,437624
277,2,2.000,439045,439045,725354,582199,725354,725354,725354,725354,725354
278,2,2.000,181913,181913,601533,391723,601533,601533,601533,601533,601533
279,3,3.000,54341,54341,173072,386582,932333,932333,932333,932333,932333
280,2,2.000,171877,171877,953257,562567,953257,953257,953257,953257,953257
281,1,1.000,757500,757500,757500,757500,757500,757500,757500,757500,757500
282,3,3.000,170797,170797,184668,341572,669253,669253,669253,669253,669253
283,3,3.000,56513,56513,186701,357599,829584,829584,829584,829584,829584
284,4,4.000,168142,173283,181458,253955,492940,492940,492940,492940,492940
285,3,3.000,169474,169474,263525,415740,814221,814221,814221,814221,814221
286,4,4.000,54409,161322,171628,338206,965465,965465,965465,965465,965465
287,1,1.000,796284,796284,796284,796284,796284,796284,796284,796284,796284
288,3,3.000,177002,177002,182626,185405,196588,196588,196588,196588,196588
289,3,3.000,177965,177965,442123,377817,513364,513364,513364,513364,513364
290,6,6.000,58581,58855,175540,182553,178716,457677,457677,457677,457677
291,2,2.000,447191,447191,618136,532663,618136,618136,618136,618136,618136
292,2,2.000,69527,69527,812850,441188,812850,812850,812850,812850,812850
293,3,3.000,174295,174295,185224,434716,944630,944630,944630,944630,944630
294,1,1.000,559330,559330,559330,559330,559330,559330,559330,559330,559330
295,3,3.000,189958,189958,224167,338885,602530,602530,602530,602530,602530
296,3,3.000,70894,70894,669549,576249,988306,988306,988306,988306,988306
297,1,1.000,845795,845795,845795,845795,845795,845795,845795,845795,845795
298,2,2.000,176124,176124,926682,551403,926682,926682,926682,926682,926682
299,1,1.000,450706,450706,450706,450706,450706,450706,450706,450706,450706
300,1,1.000,913819,913819,913819,913819,913819,913819,913819,913819,913819
301,3,3.000,158438,158438,554028,641984,1213488,1213488,1213488,1213488,1213488
302,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
303,1,1.000,1987756,1987756,1987756,1987756,1987756,1987756,1987756,1987756,1987756
304,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
305,3,3.000,57614,57614,397044,521052,1108500,1108500,1108500,1108500,1108500
306,1,1.000,690696,690696,690696,690696,690696,690696,690696,690696,690696
307,3,3.000,78712,78712,108871,228594,498201,498201,498201,498201,498201
308,2,2.000,191700,191700,815968,503834,815968,815968,815968,815968,815968
309,4,4.000,170367,177954,183035,269146,545229,545229,545229,545229,545229
310,2,2.000,190779,190779,674514,432646,674514,674514,674514,674514,674514
