Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
330,2,2.000,154555,154555,1014477,584516,1014477,1014477,1014477,1014477,1014477
331,2,2.000,142846,142846,595739,369292,595739,595739,595739,595739,595739
332,3,3.000,154857,154857,155870,338345,704310,704310,704310,704310,704310
333,2,2.000,548409,548409,756055,652232,756055,756055,756055,756055,756055
334,1,1.000,681227,681227,681227,681227,681227,681227,681227,681227,681227
335,3,3.000,145232,145232,159125,355245,761378,761378,761378,761378,761378
336,1,1.000,1356076,1356076,1356076,1356076,1356076,1356076,1356076,1356076,1356076
337,2,2.000,73191,73191,669861,371526,669861,669861,669861,669861,669861
338,2,2.000,189177,189177,727136,458156,727136,727136,727136,727136,727136
339,3,3.000,184302,184302,656224,543631,790368,790368,790368,790368,790368
340,1,1.000,803202,803202,803202,803202,803202,803202,803202,803202,803202
341,2,2.000,158668,158668,1332836,745752,1332836,1332836,1332836,1332836,1332836
342,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
343,2,2.000,443743,443743,874989,659366,874989,874989,874989,874989,874989
344,2,2.000,147742,147742,559678,353710,559678,559678,559678,559678,559678
345,2,2.000,149227,149227,864806,507016,864806,864806,864806,864806,864806
346,2,2.000,484196,484196,498816,491506,498816,498816,498816,498816,498816
347,4,4.000,146486,150237,196869,276141,610975,610975,610975,610975,610975
348,2,2.000,148987,148987,830679,489833,830679,830679,830679,830679,830679
349,1,1.000,1058854,1058854,1058854,1058854,1058854,1058854,1058854,1058854,1058854
350,1,1.000,823308,823308,823308,823308,823308,823308,823308,823308,823308
351,1,1.000,1325446,1325446,1325446,1325446,1325446,1325446,1325446,1325446,1325446
352,2,2.000,145189,145189,602050,373619,602050,602050,602050,602050,602050
353,4,4.000,84518,159554,561174,444135,971296,971296,971296,971296,971296
354,1,1.000,148373,148373,148373,148373,148373,148373,148373,148373,148373
355,3,3.000,144618,144618,156863,388021,862583,862583,862583,862583,862583
356,3,3.000,154775,154775,169731,550204,1326106,1326106,1326106,1326106,1326106
357,1,1.000,707225,707225,707225,707225,707225,707225,707225,707225,707225
358,2,2.000,154742,154742,429808,292275,429808,429808,429808,429808,429808
359,1,1.000,914556,914556,914556,914556,914556,914556,914556,914556,914556
360,2,2.000,154691,154691,864588,509639,864588,864588,864588,864588,864588
361,3,3.000,148450,148450,661045,524716,764653,764653,764653,764653,764653
362,1,1.000,598550,598550,598550,598550,598550,598550,598550,598550,598550
363,2,2.000,211043,211043,693034,452038,693034,693034,693034,693034,693034
364,3,3.000,68740,68740,592117,480632,781040,781040,781040,781040,781040
365,1,1.000,604934,604934,604934,604934,604934,604934,604934,604934,604934
366,2,2.000,151685,151685,860674,506179,860674,860674,860674,860674,860674
